node ID,name,common name,family,size,image 1 (animals on white),image 1 in file,image 2 (shells),image 2 in file,image 3 (animals in habitat),image 3 in file,identification characteristics,similar species,ecology,distribution in the British Isles,distribution elsewhere,conservation status,map image,notes
s40,"Merdigera obscura (Müller, 1774)",Lesser Bulin,Enidae,8.5 - 9 mm,s40-1.jpeg,y,s40-2.jpg,,s40-3.jpg,,"The shell is similar to that of Ena montana but is much smaller. The mouth-edge has a pure white reflected lip and the shell is brown, not very glossy and with fine rather irregular growth-lines. The shell, especially of juveniles, is often covered with a crust of soil hardened by mucus, making them difficult to see. ","Similar to Ena montana but smaller, so check the size of your specimen carefully. ",Found in woodlands and hedgerows and on walls and shaded rocky places; it climbs bare surfaces in wet weather. ,"Widespread, becoming localized in Scotland and Ireland. ","Widespread across Europe, but scarce in northern Scandinavia. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"".  ",,
s41,"Ena montana (Draparnaud, 1801)",Mountain Bulin,Enidae,14 - 17 mm,s41-1.jpeg,,s41-2.jpg,,s41-3.jpg,,"The shell is ovoid-conical and usually brown, not very glossy and with the growth-ridges crossed by fine irregular spiral striae which produces a granular texture to the shell (figure ?). The mouth-edge is pinkish-white, slightly thickened and reflected.","Juveniles might be confused with Merdigera obscura, but adults are clearly identifiable on the basis of this size. ","Found in old woodland and amongst rocks, in wet weather climbing tree trunks (especially beech). It can be found at high altitudes (over 2000 m) in the Alps. ",Local distribution in southern England; unknown in Ireland. ,"Restricted to mountainous areas in the Pyrenees, Alps, and central and southern Germany. Rare and very localized further north. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"", although fragmented populations in places such as Britain may be under more threat. ",,
s42,"Clausilia bidentata (Ström, 1765)",Two Toothed Door Snail,Clausiliidae,9 - 12 x 2.3 - 2.7 mm,s42-1.jpeg,y,s42-2.jpg,,s42-3.jpg,y,"The shell is fusiform (narrow and pointed), with a gradually tapering spire made up of many whorls, and fine, regularly-spaced ribs. The mouth is small and pear-shaped, with 1 to 2 fold-like structures in the mouth. The shell is dark reddish-brown or blackish when fresh, but can often be bleached pale-grey.",Shouldn't be confused with other British species of Clausiliid. ,"Found in relatively moist places, amongst rocks and in crevices in old walls, and in woodland. ","Found throughout Britain and Ireland, although rarer in upland and northern regions. ","Found throughout Europe, absent from northernmost Scandinavia. ",Not threatened.,,
s43,"Clausilia dubia Draparnaud, 1805",Craven Door Snail,Clausiliidae,11 - 14 x 2.7 - 3.2 mm,s43-1.jpeg,,s43-2.jpg,,s43-3.jpg,,"The shell is very similar to that of Clausilia bidentata, but is larger and fatter. The ribs on the surface of the shell are also more widely spaced than in C. bidentata.",This is a very variable species and might be difficult to separate from Clausilia bidentata.,"Found in moist shaded rocks and old walls, more rarely in woodland. Prefers calcareous habitats, and can attain altitudes of 2400 m in the Alps. ","Found in northern England and unknown in Ireland. There is an isolated population at Dover Castle, Kent, that is probably a modern introduction. ","This species has a highly discontinuous central European range, and is known from parts of southern and eastern France, Switzerland, the Netherlands and Germany. ",Not threatened.,,
s44,"Macrogastra rolphii (Turton, 1826)",Rolph's Door Snail,Clausiliidae,11 - 14 x 3.4 - 3.6 mm,s44-1.jpeg,,s44-2.jpg,,s44-3.jpg,,"The shell is relatively short and squat for a clausiliid, and is reddish-brown with rather blunt ribs. The mouth is well-rounded at the base and has a clearly defined basal groove.",Careful attention to proportions and mouth features should enable positive identification of this species. It should not be found climbing vertical surfaces. ,"Found in moist deciduous woodland, hedgerows and amongst moss, always in ground litter (this is not a climbing species).","Found in southern England, mostly in areas of calcareous bedrock. It is not known in Ireland. ","This species has a western European distribution, and is known from France, Belgium and southern Holland, with localized occurences in northwest Germany. ",Not threatened.,,
s45,"Papillifera bidens (Linneaus, 1758)",Italian Door Snail,Clausiliidae,16 - 22 x 4 - 4.4 mm,s45-1.jpeg,y,s45-2.jpg,,s45-3.jpg,,"The shell is relatively large and rather dull, usually pale reddish-brown with a spiral row of raised white papillae near the suture. The mouth-edge is white and strongly reflected, and there are 3 lamellae.","This is a European species introduced into Britain, and should be easily recognisable owing to its white papillae. ",In its native range in Europe it inhabits rocks and old walls and also deciduous woods. ,"An introduced species, found in two places in England; Cliveden House, Buckinghamshire, and on Brownsea Island, off the Dorset coast. Not known in Ireland. ","Native to southern Europe and common in Italy, Switzerland and southeastern France, but introduced in several places north of the Alps, possibly as a result of planting vines.",Not threatened.,,
s46,"Cochlodina laminata (Montagu, 1803)",Plaited Door Snail,Clausiliidae,15 - 17 x 4 mm,s46-1.jpeg,y,s46-2.jpg,,s46-3.jpg,y,"The shell is fusiform with a rather blunt and round apex, yellowish-brown, glossy, with faint irregular growth-lines only. The mouth-edge has a thickened white lip, and there are strongly-developed lamellae clearly visible within.",Careful attention to proportions and mouth features should enable positive identification of this species.,Found in shaded places in woods and in ground litter. In wet weather it often climbs the trunks of trees. Found up to altitudes of 1900 m in the Alps. ,"Found predominantly in England, with a few occurences in Scotland, Wales and Ireland. ","Widespread in Europe, becoming scarcer to the west and absent from much of northern Scandinavia. ",Not threatened.,,
s47,"Balea biplicata (Montagu, 1803)",Thames Door Snail,Clausiliidae,16 - 18 mm length,s47-1.jpeg,,s47-2.jpg,,s47-3.jpg,,The shell is brown and coarsely ribbed. The mouth has a upper palatal fold and a basal furrow.,Careful attention to proportions and mouth features should enable positive identification of this species.,"Lives on dry overgrown hedgebanks, often in wasteland and associated with human disturbance. Also found in gardens. In Europe it is found in shady woodland habitats, in leaf litter and amongst rocks. ","In Britain found only on the banks of the River Thames in or near London (Kew, Richmond, Isleworth, Chiswick and Purfleet). Not known in Ireland. ","Mainly central European, but also occuring in parts of northern Europe and Scandinavia. ",Not threatened.,,
s48,"Balea sarsii (Pfeiffer, 1847)",Sars's Tree Snail,Clausiliidae,7 mm length,s48-1.jpeg,,s48-2.jpg,,s48-3.jpg,,"The shell differs from Balea perversa in that it is more slender and has a yellowish colour. The striations are also weaker, with coarse growth-lines rather than distinct riblets. The mouth is squareish with a weakly-thickened white lip.","This is very similar to Balea perversa, although it is usually smaller. However, it is a variable species and is therefore easily confused with B. perversa. The most reliable way to separate the two is to examine the apical whorls: in B. perversa this part of the shell is almost cylindrical, but in B. sarsii it is conical.","This species sometimes occurs in the same places as Balea perversa, and probably has a very similar ecology, preferring rocks and old stone walls. ","In Britain and Ireland it is more common than Balea perversa, but has been under-recorded and therefore its precise distribution is unclear. ","Western Atlantic distribution occuring in Portugal and coastal parts of northern Spain, France and the Atlantic Islands. Also known from some localities in Scandinavia. ",Not threatened.,,
s49,"Balea perversa (Linneaus, 1758)",Tree Snail,Clausiliidae,8 - 10 x 2.2 mm,s49-1.jpeg,y,s49-2.jpg,,s49-3.jpg,,"The shell is narrowly conical with a deep slightly channelled suture. The mouth is squareish and usually lacks teeth, although sometimes a very small denticle might be present. The shell is pale brownish or greenish with closely-spaced irregular riblets. ","Adults of this species might be confused with juveniles of other Clausiliidae; adults can be identified by the presence of a thickened and expanded mouth-lip, which will not be present on a juvenile clausiliid. ",Found in dry exposed places amongst rocks and old stone walls; more rarely found in ground litter. Can attain altitudes of 2400 m in the Alps. ,"It has a scattered distribution across Britain and Ireland, and has declined in many areas. It is more common in Ireland, and the rockier parts of western Britain. ","Widespread in Europe, but more local in the east and restricted to coasts in Scandinavia. ",Not threatened. ,,
s50,"Cecilioides acicula (Müller, 1774)",Blind Snail,Ferussaciidae,4.5 - 5.5 x 1.2 mm,s50-1.jpeg,,s50-2.jpg,,s50-3.jpg,,"The shell is very narrow and slender, with a blunt apex. The mouth forms about a third of the total shell height. The shell is colourless, delicate and transparent when fresh, quickly fading and becoming white and opaque on death. The body of the animal is colourless and it has no eyes, although living specimens are rarely encountered as this species lives underground, usually amongst plant roots. ","There are no similar species in Britain, although other species of Cecilioides occur in Europe. ","This species lives well below the surface amongst plant roots, or in the crevices of rocks, mostly on calcareous soils. Usually found as dead shells in flood debris or in anthills.","Widely distributed throughout calcareous regions of the British Isles, but poorly recorded due to their subterranean habit. ","Widespread, but not extending north beyond southern Scandinavia. ",Not threatened. ,,
s51,"Paralaoma servilis (Shuttleworth, 1852)",,Punctidae,1.8 - 2 mm breadth,s51-1.jpeg,y,s51-2.jpg,,s51-3.jpg,,"The shell is brownish and quite flat, with widely spaced and regular ribs and very fine spiral striations. The mouth is almost circular and the shell is slightly larger in diameter than Punctum pygmaeum. ",Like Punctum pygmaeum this species has a very wide umbilicus. However the well developed ribs on P. servilis should allow separation from P. pygmaeum. ,"This is an introduced species native to Australasia. It has subspequently been spread by human activity to the Mediterranean and was first recorded in Britain in 1985 at a garden nursery in Luton. In the Mediterranean this snail is common in ground litter, moist sheltered places; in Britain it is found in disturbed habitats such as roadside banks and gardens and is often detected in nurseries and garden centres. ","Known in a handful of areas in England, but not native. ",Found in the western Mediterranean but not native. ,Not threatened. ,,
s52,"Punctum pygmaeum (Draparnaud, 1801)",Dwarf Snail,Punctidae,1.2 - 1.5 mm breadth ,s52-1.jpeg,y,s52-2.jpg,,s52-3.jpg,,"The discoidal shell is minute, with 3.5 whorls separated by a deep suture. The umbilicus is large and open, and the mouth is rounded with a thin edge that is not reflected. The shell is golden brown in colour, with many extremely fine regular growth-ridges. ","This species might be confused with the introduced Paralaoma servilis, but lacks its distinctive ribs. ","A catholic species found in a wide variety of well vegetated places, avoiding only the driest and most exposed habitats and those disturbed by people. Particularly common in the leaf litter of deciduous woodland, but also found in marshes, hedgerows, grasslands and sand dunes. ",Widespread in Britain and Ireland. ,Common throughout western Europe and Scandinavia. ,Not threatened. ,,
s53,"Lucilla singleyana (Pilsbry, 1889)",Smooth Coil Snail,Helicodiscidae,2 - 2.5 x 1 mm,s53-1.jpeg,,s53-2.jpg,,s53-3.jpg,,"This is a blind subterranean species that lives in root holes and cracks down to depths of a metre from the surface. The shell is translucent and has a glossy surface, marked by growth wrinkles and some radial grooves which may not be visible to the naked eye. ",This species is unlikely to be confused with others since it it only found underground and in greenhouses. ,"Most finds of this snail are likely to be empty shells, sometimes quite fresh, recovered from loose soil and ground litter. It is also found in greenhouses. ","Introduced probably from north America, the British distribution of this species therefore remains unclear. It was first reported in 1975 and is uncommon (known from a handful of sites in England and Wales) but probably under-recorded due to its underground habits. ","Widespread in north America; in europe it occurs sporadically in most central and western European countries, again as introductions. ",Not threatened. ,,
s54,"Discus rotundatus (Müller, 1774)",Rotund Disc Snail,Discidae,5.5 - 7 x 2.4 mm ,s54-1.jpeg,y,s54-2.jpg,,s54-3.jpg,,"The shell is yellowish-brown with reddish brown stripes, distinctively ribbed and keeled at the periphery. ","This species is unlike any other British land snail, but is similar to the European species Discus ruderatus which has a more rounded shape and coarser ribbing. ","Found in moist sheltered places of all kinds, common in woodland amongst ground litter and in damp vegetation; often found in gardens. ",Almost ubiquitous in Britian and Ireland. ,"Common throughout Europe as far north as southernmost Scandinavia, where it has been spread beyond its natural range by people and is found primarily in gardens and greenhouses. ",Not threatened. ,,
s55,"Zonitoides nitidus (Müller, 1774)",Shiny Glass Snail,Gastrodontidae,6 - 7 x 3.5 - 4 mm,s55-1.jpeg,,s55-2.jpg,,s55-3.jpg,,"The shell is reddish-brown and distinctly and irregularly striated with a rather broad umbilicus. The mouth is well-rounded and the shell is glossy and translucent; when alive it can appear almost black owing to the dark body of the snail showing through the shell. It also has a distinctive orange spot on the mantle, usually visible adjacent to the opening of the shell. ",This species could be confused with Z. excavatus but is more loosely coiled and has a narrower umbilical opening. ,"Found in very moist places such as fens and marshes, especially at the margins of lakes and rivers. ","Widespread in Britain and Ireland, although rarer and restricted to coastal regions in northern England and Scotland. ","Widespread in Europe, but rare in northern regions. ",Not threatened. ,,
s56,"Zonitoides excavatus (Alder, 1830)",Hollowed Glass Snail,Gastrodontidae,5.3 - 6 x 2.8 - 3.4 mm,s56-1.jpeg,,s56-2.jpg,,s56-3.jpg,,"The shell is pale brown and very tightly coiled, with strongly marked growth ridges; like Z. nitidus the animal is dark but lacks the orange spot on the mantle.  ",This species could be confused with Z. nitidus but is more tightly coiled and has a broader umbilical opening. ,"Found in the ground litter of woodland and occasionally in marshes. This is one of the few snails that avoids calcareous environments, preferring acidic woodlands and poorly drained habitats. ","The distribution of this species reflects its preference for base-poor (non calcareous) soils, such as southwest and central England, west Wales and the western coast of Ireland. ","Fairly widespread in non-calcareous areas of Belgium, The Netherlands, Denmark and northwest Germany. ","Not listed by the IUCN Red List, but rare in Germany. ",,
s57,"Euconulus alderi (Gray, 1840)",Alder's Hive Snail,Euconulidae,2.8 - 3.5 x 2 - 2.5 mm,s57-1.jpeg,y,s57-2.jpg,,s57-3.jpg,,The shell is very similar to Euconulus fulvus but is slightly smaller and has more strongly developed spiral striations on the underside. The living animal has a dark body. ,"This species is similar to Euconulus fulvus, the shell of which is duller, slightly larger and has poorly developed spiral striations on the base. In addition the living animal of E. fulvus is pale rather than dark.  ","Found in similar places to those inhabited by E. fulvus, but often in wetter environments such as marshes and boggy woodland. ","More locally distributed than Euconulus fulvus, but probably under-recorded owing to the similarities between the two species. ","Found throughout Europe to beyond the Arctic Circle, but probably under-recorded due to confusion with Euconulus fulvus. ",Not threatened. ,,
s58,"Euconulus fulvus (Müller, 1774)",Brown Hive Snail,Euconulidae,2.8 - 3.5 x 2 - 2.5 mm,s58-1.jpeg,y,s58-2.jpg,,s58-3.jpg,,"The shall is pale yellowish-brown, squatly conical and slightly keeled at the periphery. The mouth is crescent-shaped, with a simple brittle edge. The umbilicus is only just visible and there are very faint spiral striations on the base, which may only be visible under a microscope. The living animal has a pale body. ","This species is similar to Euconulus alderi, the shell of which is glossier, slightly smaller and has more distinct spiral striations on the base. In addition the living animal of E. alderi is dark rather than pale.  ","Found in both deciduous and coniferous woodlands, grasslands and marshes, usually in fairly moist places. ","Widespread but local throughout Britain, and somewhat rarer in Ireland. ",Found throughout Europe to beyond the Arctic Circle. ,Not threatened. ,,
s59,"Vitrea contracta (Westerlund, 1871)",Milky Crystal Snail,Pristilomatidae,1.0 - 1.4 x 1.8 - 3.0 mm,s59-1.jpeg,,s59-2.jpg,,s59-3.jpg,,"The shell of this species is very variable, especially in shell size. It is similar to that of Vitrea crystallina but is smaller, more compressed and more tightly coiled. The umbilicus is deep and relatively broader than in V. crystallina, and is not eccentric. The mouth does not have any internal thickening. ","This species is similar to Vitrea crystallina, but careful comparison using the descriptions provided for these two species should allow separation. ","Found in many habitats but favours drier more calcareous places than V. crystallina. Common amongst rocks and screes, and also found in caves. ",Widespread in Britain and Ireland. ,Widespread in central and northwestern Europe. ,Not threatened. ,,
s60,"Vitrea subrimata (Reinhardt, 1871)",,Pristilomatidae,1.3 - 2.2 x 2.5 - 5 mm,s60-1.jpeg,,s60-2.jpg,,s60-3.jpg,,"The shell is thin, shiny and almost colourless, glassy and transparent when fresh. The umbilicus is minute (like a pin-prick), and there is no thickening to the mouth edge. ",This species can be distinguished from the other two British Vitreas on account of its minute umbilicus. ,"Lives mainly amongst rocks and screes, often in woodland. In Europe it is often a montane species, often attaining altitudes of 2400 metres in the Alps. ",Restricted to northern England (Lake District and Pennines). Not known in Ireland. ,"Common in mountain areas such as the Pyrenees, Jura, and the Alps. ",Not threatened. ,,
s61,"Vitrea crystallina (Müller, 1774)",Crystal Snail,Pristilomatidae,1.4 - 2.1 x 3 - 4 mm,s61-1.jpeg,y,s61-2.jpg,,s61-3.jpg,,"The shell is glassy and transparent, usually colourless but sometimes tinged with green. In adult specimens there is usually a distinct internal thickening or rib set just inside the mouth. The umbilicus is narrow and the final whorl is eccentric. ","This species is similar to Vitrea contracta, but careful comparison using the descriptions provided for these two species should allow separation. ",Found in many habitats but favours damp places such as marshes and moist grassland. ,Widespread in Britain and Ireland. ,Widespread in Europe but absent from most of Scandinavia. ,Not threatened. ,,
s62,"Aegopinella pura (Alder, 1830)",Clear Glass Snail,Oxychilidae,3.5 - 4.2 x 2 - 2.7 mm,s62-1.jpeg,y,s62-2.jpg,,s62-3.jpg,,"The shell is translucent and usually colourless, although often pale brown, not very glossy with faint irregular growth lines crossed by delicate interrupted spiral striations (only visible under the microscope).","This species may be confused with juveniles of Aegopinella nitidula, which is a much larger snail. It can be distinguished from these by the much tighter coiling of the whorls and the distinct microsculpture.","Found in moderately moist places such as ground litter in deciduous woods, predominantly in calcareous areas. ",Widespread in Britain and Ireland. ,Widespread in Europe but mainly coastal in Scandinavia. ,Not threatened. ,,
s63,"Aegopinella nitidula (Draparnaud, 1805)",Smooth Glass Snail,Oxychilidae,4 - 6 x 6 - 11 mm,s63-1.jpeg,y,s63-2.jpg,,s63-3.jpg,,"The shell is pale yellowish-brown (occasionally white), with a waxy rather than glossy sheen. It has faint growth-lines crossed by very faint striations which are much less distinct than those in Aegopinella pura. ","This species is much bigger than Aegopinella pura, so careful attention to size should help separate these species. However juvenile A. nitidula may be a similar size to adult A. pura, but are more loosely coiled and have indistinct microsculpture. ","Found in a variety of moderately moist places such as woodlands, hedgerows, amongst rocks and often in habitats that have been disturbed by human activity. ",Widespread in Britain and Ireland. ,"Mainly northwestern Europe, found in western France, Belgium, Holland, northern Germany and the coasts of southern Scandinavia. ",Not threatened. ,,
s64,"Nesovitrea hammonis (Strøm, 1765)",Rayed Glass Snail,Oxychilidae,1.9 - 2.1 x 3.6 - 4.1 mm,s64-1.jpeg,y,s64-2.jpg,,s64-3.jpg,,"The shell is translucent and usually pale brown (sometimes colourless or greenish), glossy, with a characteristic sculpture of strong, regular transverse striations (rays). The mouth-edge is delicate with only a slight internal thickening. ",This species can be easily separated from others with a similar size and shape by the presence of the distinctive sculpture of transverse rays. ,"Found in a variety of damp to moderately dry places such as marshes, grasslands and both deciduous and coniferous woodland. It is often found in more acidic environments such as pine forest. ",Widespread in Britain and Ireland. ,"Widespread throughout Europe, but sometimes localized in dry lowland areas. ",Not threatened. ,,
s65,"Oxychilus navarricus helveticus (Blum, 1881)",Glossy Glass Snail,Oxychilidae,8 - 9 mm breadth,s65-1.jpeg,y,s65-2.jpg,,s65-3.jpg,,"The shell is extremely glossy and translucent with a warm brownish-yellow colour. The whorls enlarge very regularly and the umbilicus is narrow. The body of the animal is bluish grey, often with faint darker stripes on the flanks. The mantle-edge is jet black and is visible through the shell as a black band when the animal is retracted. This species may emit a garlic-like smell when disturbed, but much less strongly than Oxychilus alliarius.  ","This species may be confused with other Oxychilus, but can be separated on the basis of the black band on the animal and the narrower umbilicus than other species such as Oxychilus cellarius. Careful comparison of size is also useful in separating this group. ","Found in moist shaded places such as woods, hedgerows and amongst rocks. In Switzerland it is mainly a montane species, but is locally common elsewhere in lowland habitats. ","This is an introduced species, known only since the Roman period, although it is now completely naturalized. Mainly found in southern Britain, but only as isolated colonies in Scotland and Ireland suggesting that it has only recently become established in those countries. ","It's a northwest European species found in northern France, Belgium, the western Pyrenees and Switzerland. ",Not threatened. ,,
s66,"Oxychilus alliarius (Miller, 1822)",Garlic Snail,Oxychilidae,3.5 - 4 x 5 - 7 mm,s66-1.jpeg,y,s66-2.jpg,,s66-3.jpg,,"The shell is shiny and translucent and usually pale yellowish-brown or greenish, often whiter on the underside. The umbilicus is rather broad and eccentric, and the last quarter-whorl is sometimes compressed and slightly downturned. The body is dark bluish-grey and the animal emits a strong smell of garlic when disturbed. ",This species can be separated from Oxychilus cellarius due to its closer coiling and deeper suture. Careful comparison of size is also useful in separating this group.,"Found in a variety of habitats including woods, fields, amongst rocks and sometimes in gardens and greenhouses. Also tolerant of acidic habitats such as conifer plantations. ",Extremely common in Britain and Ireland. ,"Mainly western European, found in France, Belgium, The Netherlands, northern Germany and southern Scandinavia. Very rare in Switzerland. ",Not threatened. ,,
s67,"Oxychilus cellarius (Müller, 1774)",Cellar Snail,Oxychilidae,4.5 - 6 x 7 - 11 mm,s67-1.jpeg,y,s67-2.jpg,,s67-3.jpg,,"The shell is shiny, pale and translucent with scarcely visible growth-lines. The suture is very shallow, giving a channelled appearance. The umbilicus is symetrical and relatively deep and open. The animal is usually pale bluish-grey, but darkly pigmented forms are also known.  ",This species is usually less tightly coiled and has a wider umbilicus than other Oxychilus. Careful comparison of size is also useful in separating this group.,"Found in moist shaded places such as woods, amongst rocks, in gardens and frequently in caves. Often found in humid cellars, hence its name. ","Extremely common in Britain and Ireland, although rarer in northern Scotland.","Found throughout Europe, becoming mainly coastal in Scandinavia. Introduced to the Faroe Islands.",Not threatened. ,,
s68,"Oxychilus draparnaudi (Beck, 1837)",Draparnaud's Glass Snail,Oxychilidae,6 - 7 x 12 - 14 mm,s68-1.jpeg,y,s68-2.jpg,,s68-3.jpg,,"The shell is discoidal, not usually very glossy and a rather opaque pale yellowish-brown. Growth-lines are usually well defined, giving a wrinkled appearance, especially near the suture. This is the largest of the Oxychilus species in Britain, and the animal is a dark cobalt blue colour with a grey mantle. ",This species is the largest Oxychilus and can be separated from other British species because the last whorl is considerably wider. Careful comparison of size is also useful in separating this group. ,"Found in a variety of moist sheltered places such as woodlands, amongst rocks, and often in gardens and greenhouses. This is carnivorous species that feeds on slugs and earthworms, and has been known to feed on cat and dog food. ","This species was introduced to Britain during the Roman period and has since colonized several areas of Britain and Ireland, and continues to extend its range. Often its presence is indicative of disturbed habitats.","Originally a Mediterranean species, but now widespread in western Europe thanks to human activity. ",Not threatened. ,,
s69,"Vitrina pellucida (Müller, 1774)",Winter Semi-Slug,Vitrinidae,4 - 6 x 2.5 - 3.5 mm,s69-1.jpeg,,s69-2.jpg,,s69-3.jpg,,"The shell is very thin, glossy, pale and translucent, and consists of few rapidly expanding whorls. The mouth is relatively large and the mouth-edge is simple and delicate. There is no umbilicus and the shell is usually pale green. The body of the animal is usually pale grey with a darker head and tentacles; the body is very large compared to the shell and is generally not fully retractable, as might be expected for a snail. Vitrina pellucida is therefore usually categorized as a semi-slug, being halfway between a slug and a snail. ","This is the only native Vitrinid in Britain. There are two introduced species (Semilimax pyrenaicus and Phenacolimax major), but these have very limited distributions in Ireland and southern Britain respectively. Check the descriptions of these species carefully to ensure accurate identification. ","Common in a wide variety of moderately humid places, such as woods, grasslands, amongst rocks, and often abundant in the grassy hollows of coastal dunes. It tolerates non-calcareous soils and can be found at high altitudes. ",Widespread throughout Britain and Ireland. ,"Found throughout Europe, northwards to beyond the Arctic Circle. ",Not threatened. ,,
s70,"Semilimax pyrenaicus (Férussac, 1821)",Pyrenean Semi-Slug,Vitrinidae,5 - 6 x 3.5 - 4.5 mm,s70-1.jpeg,y,s70-2.jpg,,s70-3.jpg,,"The shell is very thin, glossy, pale and translucent, and consists of few rapidly expanding whorls, the last of which expands very strongly to form about three-fifths of the total breadth of the shell. There is no umbilicus and the shell is usually pale green. The body of the animal is usually pale grey with blackish pigment spots on the mantle; like the other semi-slugs the body is very large compared to the shell and is generally not fully retractable. In this species there is a mantle lobe that entirely covers the apex of the shell.  ","This species is only known in Ireland, and should not be confusable with other British and Irish snails. ","Locally common in damp ground litter in woodland, mostly on non-calcareous soils and sometimes in more openly marshy places. ","This species is only known in Ireland where it was probably introduced, although this is enigmatic. The only other population is in the Pyrenees. ",Only found in the Pyrenees. ,"Listed by the IUCN Red List of Threatened Species as ""Least Concern"", although it is a rare species which seems to be spreading via forestry operations. ",,
s71,"Phenacolimax major (Férussac, 1807)",Greater Semi-Slug,Vitrinidae,5 - 7 x 4 - 6 mm,s71-1.jpeg,y,s71-2.jpg,,s71-3.jpg,,"The shell is very thin, glossy, pale and translucent, and consists of few rapidly expanding whorls, the last of which expands very strongly to form about half of the total breadth of the shell. There is no umbilicus and the shell is usually pale green. The body of the animal is usually mid to dark-grey; like the other semi-slugs the body is very large compared to the shell and is generally not fully retractable. In this species there is a mantle lobe that entirely covers the apex of the shell.  ","This species is only know in very local populations in southern England and Wales. The mouth is more oval and compressed than that of Vitrina pellucida, and is larger than that species with a distinctive mantle lobe covering the apex of the shell. ","Found in moist sheltered places such as woods, grasslands, and amongst rocks. Rare at altitudes above 1000 metres. ",Very localized species in southern England and Wales. Not know from Ireland. ,"Found in western Europe, mainly France and west Germany.","Listed by the IUCN Red List of Threatened Species as ""Near Threatened"". This species is endemic to Europe where populations are declining; the main threats are logging of its woodland habitats and planting of conifers. ",,
s72,"Helicodonta obvoluta (Müller, 1774)",Cheese Snail,Helicodontidae,5 - 7 x 11 - 15 mm,s72-1.jpeg,y,s72-2.jpg,,s72-3.jpg,,"The shell is flat with a slightly sunken spire, with 5 - 6 tightly-coiled whorls. The umbilicus is wide and deep and the mouth is angled with a white lip, with blunt tooth-like thickenings in the basal and outer regions. The shell is brown with irregular growth-ridges and is densely covered with hairs, especially when young; adult shells may be hairless as these rub off during the snail's life, but they can still be observed under the microscope as distinctive hair-pits on the shell's surface. ","There are no similar British species, although other species of Helicodonta live in montane areas of Europe. ","A very local species found in calcareous habitats, especially chalk beech woods, in leaf litter and under logs. Occasionally it climbs tree trunks. Nearly all of the localities in Britain are on the South Downs.","Known only in southern England (Sussex, Hampshire).","Known from France, Belgium, southern Netherlands, Switzerland and southern Germany. ","Listed by the IUCN Red List of Threatened Species as ""Least Concern"". Although this species is widespread in Europe it is very rare in Britain and therefore listed as ""Threatened"" in the GB Red Data Book. ",,
s73,"Cepaea nemoralis (Linnaeus, 1758)",Brown-lipped Snail,Helicidae,12 - 22 x 18 - 25 mm,s73-1.jpeg,y,s73-2.jpg,y,s73-3.jpg,y,"This extremely common snail has a globular shell with a thickened lip that is usually dark brown. The shell is brightly coloured, ranging from brown to yellow and even pink, and has between 0 and 5 dark spiral bands. The colour and banding pattern is extremely variable. The umbilicus is completely sealed by the lip. ","Superficially very similar to Cepaea hortensis, with which it is often found, but distinguishable on the basis of the colour of the lip. Cepaea nemoralis is also usually slightly larger than C. hortensis.","Tolerant of most habitats, found in woods, hedgerows, scrubland, grassland, and even dunes. In mountainous areas of Europe it can be found up to altitudes of around 1500 metres. ",Found throughout Britain and Ireland although rare in the northern parts of Scotland. ,Widespread throughout NW Europe and in coastal regions of Scandinavia.  ,Not threatened. ,,
s74,"Cepaea hortensis (Müller, 1774)",White-lipped Snail,Helicidae,10 - 17 x 14 - 20 mm,s74-1.jpeg,y,s74-2.jpg,,s74-3.jpg,y,The shell is globular and brightly coloured with a white thickened lip. The shell colour and banding pattern (0 - 5 dark spiral bands) are extremely variable. The umbilius is completely sealed by the lip. ,"Superficially very similar to Cepaea nemoralis, with which it is often found, but distinguishable on the basis of the colour of the lip. Cepaea hortensis is also usually slightly larger than C. nemoralis.","Tolerant of a variety of habitats, found in woods, hedgerows, scrubland, grassland, and even dunes, but often in slightly wetter or colder places than Cepaea nemoralis. It is also found at slightly higher altitudes in mountainous areas, attaining about 2000 metres in the Alps. ","Found throughout Britain and more common in northern Scotland than Cepaea nemoralis, but much rarer in Ireland where it is restricted to central-western regions and the coasts. ","Widespread throughout NW Europe and in coastal regions of Scandinavia, where it is more common than C. nemoralis. ",Not threatened. ,,
s75,"Arianta arbustorum (Linnaeus, 1758)",Copse Snail,Helicidae,10 - 22 x 14 - 28 mm,s75-1.jpeg,y,s75-2.jpg,,s75-3.jpg,,"The shell is globular with a tiny umbilicus, reduced to a slit. The mouth is round with a white lip; the rest of the shell is brownish or yellowish, usually with a dark brown spiral band, and nearly always with whitish flecks. The shell has a distinctive microsculpture of fine grooves when viewed under a strong hand lens or microscope. ","The colouration might be confused with juveniles of larger species such as Cornu aspersum, but careful use of the description here should enable positive identification.  ","This species has a strong preference for wet places such as meadows, amongst lush vegetation, and in woodland. It is very restricted in areas of dry climate and good drainage. ","Found throughout Britain, although less common in areas of permeable bedrock. Scarce in Ireland where it is considered rare. ",Widespread throughout NW and Central Europe and found in southern and coastal parts of Scandinavia. ,"In Ireland, listed as Vulnerable by the IUCN Red List.",,
